@dimension:2
0.527053, 0.179398
0.149697, 0.956325
0.947077, 0.522349
0.118457, 0.908400
0.487018, 0.314854
0.748054, 0.539743
0.452336, 0.406222
0.369514, 0.427415
0.558716, 0.344083
0.998186, 0.507057
0.100592, 0.655770
0.529002, 0.944939
0.597412, 0.707197
0.867432, 0.929508
0.232693, 0.875726
0.319476, 0.437784
0.834405, 0.846772
0.700731, 0.192746
0.480848, 0.609842
0.611025, 0.496037
0.893555, 0.983634
0.937971, 0.484538
0.635344, 0.231928
0.017470, 0.625824
0.229737, 0.186663
0.241738, 0.895146
0.710983, 0.482916
0.372837, 0.264568
0.592846, 0.959230
0.777892, 0.034701
0.225858, 0.999706
0.062852, 0.359417
0.716573, 0.444028
0.779787, 0.881693
0.609530, 0.376334
0.051824, 0.006989
0.466947, 0.972927
0.975885, 0.702655
0.529457, 0.578537
0.478296, 0.714701
0.987956, 0.577095
0.235303, 0.735998
0.919503, 0.093848
0.309626, 0.884591
0.328139, 0.031418
0.045721, 0.431354
0.758898, 0.799635
0.465742, 0.723495
0.784338, 0.361959
0.449027, 0.791095
0.930897, 0.579653
0.224602, 0.890196
0.526077, 0.771838
0.279895, 0.201030
0.712607, 0.778545
0.008116, 0.410916
0.266798, 0.082023
0.565130, 0.143397
0.076779, 0.430226
0.806687, 0.996472
0.707200, 0.902432
0.166496, 0.299694
0.959116, 0.854562
0.623265, 0.217929
0.729786, 0.514258
0.139377, 0.502138
0.439858, 0.688053
0.102515, 0.973987
0.802899, 0.318017
0.910827, 0.270134
0.150414, 0.014748
0.873394, 0.133284
0.098667, 0.300073
0.320639, 0.977974
0.808516, 0.721960
0.988906, 0.547600
0.508863, 0.467680
0.296007, 0.984046
0.863165, 0.222528
0.027110, 0.635761
0.238564, 0.537683
0.846573, 0.346843
0.383628, 0.642890
0.058258, 0.137406
0.383206, 0.534857
0.334461, 0.294103
0.994991, 0.805563
0.098091, 0.620943
0.197295, 0.941040
0.054912, 0.898134
0.937521, 0.918255
0.110977, 0.185800
0.746731, 0.309246
0.495089, 0.957134
0.557141, 0.867468
0.529360, 0.946465
0.245645, 0.558838
0.382695, 0.961241
0.581382, 0.286956
0.865771, 0.017857
